연번,인증번호,인증구분,인증등급,지역코드,시군구,지역(시설)명,인증대상,신청기관,면적,용도구분,인증일자,인증만료일,인증기관
475,357,예비,우수,서울특별시,강남구,경복아파트,건축물,,,공동주택,2014-08-11,본인증 교부전 또는 사용승인 후 1년 이내,한국토지주택공사
476,119,본,우수,인천광역시,남동구,인천아시아게임 남동경기장 체조경기장,건축물,인천광역시청,31818,문화 및 집회시설,2014-08-11,2019-08-10,한국장애인개발원
477,120,본,우수,인천광역시,남동구,인천아시아게임 남동경기장 럭비경기장,건축물,인천광역시청,10538,문화 및 집회시설,2014-08-11,2019-08-10,한국장애인개발원
478,358,예비,우수,인천광역시,중구,영종1동 주민센터,건축물,인천시 중구청,1720.43,업무시설,2014-08-12,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
479,359,예비,우수,인천광역시,중구,운서동 주민센터,건축물,인천시 중구청,2715.41,업무시설,2014-08-13,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
480,360,예비,최우수,대구광역시,동구,성모의지,건축물,성모의지(곽동주),859.34,공장,2014-08-22,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인고용공단
481,121,본,우수,충청남도,서천군,서천군청소년수련관,건축물,충남 서천군청,2870.26,수련시설,2014-08-22,2019-08-21,한국장애인개발원
482,122,본,우수,인천광역시,동구,송림체육관,건축물,인천시청,22734,문화 및 집회시설,2014-08-25,2019-08-24,한국장애인개발원
483,123,본,최우수,서울특별시,강서구,마곡 엠밸리 4단지,건축물,SH공사,47846,공동주택,2014-08-26,2019-08-25,한국장애인개발원
484,361,예비,일반,서울특별시,영등포구,신길7 재정비촉진구역 주택재개발아파트 1획지,건축물,신길7재정비촉진구역 주택재개발정비사업조합,258254.39,공동주택,2014-08-27,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
485,362,예비,일반,서울특별시,영등포구,신길7 재정비촉진구역 주택재개발아파트 2획지,건축물,신길7재정비촉진구역 주택재개발정비사업조합,20257.24,공동주택,2014-08-27,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
486,124,본,우수,인천광역시,계양구,인천아시아게임 계양체육관,건축물,인천시청,18718,문화 및 집회시설,2014-08-29,2019-08-28,한국장애인개발원
487,125,본,우수,인천광역시,계양구,인천아시아게임 계양아시아드양궁장,건축물,인천시청,5703,문화 및 집회시설,2014-08-29,2019-08-28,한국장애인개발원
488,126,본,최우수,인천광역시,서구,인천 아시아드 주경기장,건축물,인천시청,114339.44,문화 및 집회시설,2014-08-29,2019-08-28,한국장애인개발원
489,363,예비,우수,전라남도,무안군,전라남도 사회복지회관,건축물,전남도청,2220,업무시설,2014-09-02,본인증 교부전 또는 사용승인 후 1년 이내,한국장애인개발원
490,127,본,우수,대구광역시,달서구,진천동 복합청사,건축물,대구시 달서군청,1338.95,제1종 근린생활시설,2014-09-04,2019-09-03,한국장애인개발원
